question,answer
"O que é o Brastel Remit?","O Brastel Remit é um serviço através do qual os usuários podem enviar dinheiro para seus amigos e familiares em outros países. Diferente do serviço de transferências internacionais de bancos, todo o procedimento está disponível pela internet."
"A Brastel Remit oferece os mesmos serviços que um banco?","Não, a Brastel Remit não oferece as operações de câmbio convencionalmente prestadas por bancos e outras instituições financeiras. De acordo com a Lei do Fundo de Liquidação (aprovada em abril de 2010), o serviço de remessa internacional também pode ser oferecido por empresas cadastradas para remessas inferiores a ¥1.000.000."
"Há alguma taxa de inscrição ou custo anual de adesão?","Não. A inscrição é gratuita e não há taxas adicionais para se tornar um membro ou para continuar a adesão."
"Eu posso transferir dinheiro do exterior para o Japão?","No momento, o serviço está disponível apenas para enviar dinheiro do Japão para o exterior."
"O beneficiário da remessa pode ser uma empresa/corporação?","Sim. Porém, o beneficiário deve ser um indivíduo que representa tal empresa ou corporação."
"Existe algum limite de valores para as transferências pelo Brastel Remit?","Sim, para mais informações, acesse: [brastelremit.jp/por/fees](http://brastelremit.jp/por/fees)."
"Qualquer pessoa pode se inscrever nesse serviço?","Qualquer pessoa maior de 18 anos de idade, residente no Japão, que tenha um endereço de email, uma conta bancária no Japão e documentos para verificação de identidade reconhecidos pelo governo japonês, pode solicitar o serviço."
"Eu posso usar o site do Brastel Remit através do sistema Mac OS?","Não existem limitações quanto ao sistema operacional utilizado. Recomendamos acessar o website através de um navegador atualizado."
"Eu posso usar o site do Brastel Remit através de um smartphone?","Basicamente não há limitações ao acessar o website do Brastel Remit a partir de smartphones ou tablets. No entanto, dependendo do dispositivo e do sistema operacional utilizado, algumas funções podem não estar disponíveis."
"É seguro enviar informações pessoais para o site do Brastel Remit?","Sim. Todas as informações pessoais que você enviar são criptografadas e não podem ser vistas por terceiros."
"A partir de quando eu posso usar o serviço após me inscrever?","Após se cadastrar pelo aplicativo Brastel Remit, você pode começar a usar o serviço no mesmo dia."
"Quanto tempo demora para o beneficiário para receber o dinheiro?","Normalmente, o dinheiro é entregue entre 1 e 3 dias úteis, dependendo do destino e do método de entrega."
"Haverá quaisquer encargos para o beneficiário?","Dependendo do país, o beneficiário poderá ter de pagar taxas de retirada e/ou impostos locais."
"Como posso saber se o beneficiário recebeu o dinheiro?","Quando o dinheiro está disponível para ser retirado, nós lhe enviaremos um email com o número de referência da transação."
"Quais documentos o beneficiário terá que apresentar para retirar o dinheiro?","O beneficiário será solicitado a apresentar os seus documentos de identidade, além do número de referência."
"Onde devo depositar o valor da remessa após ter feito a solicitação?","O dinheiro deve ser depositado na conta mencionada no final da solicitação de remessa."
"Existe uma maneira mais fácil de enviar dinheiro em vez de ter que fazer uma solicitação pela internet?","A Brastel Remit oferece a opção de Transferência Rápida, pela qual você pode registrar até 5 beneficiários para facilitar remessas."
"A conta Brastel Remit pode ser usada como uma conta bancária normal?","Não, as contas Brastel Remit são usadas especificamente para receber o dinheiro que você deseja enviar ao exterior."
"O que acontece com a taxa de câmbio se a solicitação de remessa for feita em um feriado?","O cálculo será baseado na taxa de câmbio do último dia útil antes do feriado."
"Qual taxa de câmbio é usada no cálculo da moeda?","A remessa é processada em dólares americanos e convertida para a moeda local."
"Em que momento a taxa de câmbio é aplicada?","A taxa será aplicada no dia em que o valor for confirmado."
"O que acontece quando o valor a ser enviado é diferente do valor que eu depositei?","Qualquer valor restante será deixado na conta como um saldo para ser utilizado na próxima transferência."
"O Brastel Remit é reembolsável?","Normalmente não cancelamos as transações confirmadas, mas podem ser feitos reembolsos em circunstâncias especiais."
"Eu posso alterar o valor de uma remessa que eu já solicitei?","O conteúdo de uma remessa não pode ser alterado após ela ter sido processada."
"Há algum serviço especial para usuários do Cartão Brastel?","Os usuários do Cartão Brastel têm um desconto especial na taxa de câmbio."
"Eu posso verificar qual código de acesso do Cartão Brastel eu registrei?","Não. Para verificar o código de acesso registrado, você deve contatar o atendimento."
"Eu posso utilizar os créditos do meu Cartão Brastel para fazer uma remessa?","Não. De acordo com a lei de regulamentação de vouchers pré-pagos, o valor pago não pode ser devolvido."
"Eu posso compartilhar meu nome de usuário e conta com amigos e familiares?","Não. A conta Brastel Remit não pode ser utilizada por terceiros."
"Eu posso ter mais de um nome de usuário ou conta?","Não, só é permitido um nome de usuário por cliente."
"Eu estou tendo problemas para solicitar uma remessa após alterar meu endereço ou nome. O que devo fazer?","Você precisa enviar uma cópia de seus documentos de identificação para verificação."
"Eu ainda não recebi o email com o código de autenticação. O que devo fazer?","Verifique o endereço de email que você digitou e se o email não foi bloqueado."
"Eu esqueci o meu nome de usuário ou senha. O que devo fazer?","Vá para a página de login e siga as instruções para redefinir sua conta."
"Eu não consigo acessar a minha conta porque digitei dados errados. O que devo fazer?","Entre em contato com o atendimento. Sua conta será desbloqueada após a confirmação de identidade."
"Por quanto tempo a minha conta ficará ativa se eu não usar o serviço?","Sua conta tem um prazo de validade de dois anos, renovado automaticamente."
"Caso eu decida encerrar a minha conta, eu serei penalizado?","Não, você pode encerrar a sua conta a qualquer momento e se inscrever novamente depois."
"O que é a entrega por carteira eletrônica?","A carteira eletrônica é um serviço de pagamento que permite o usuário pagar com um telefone celular."
"Além da conta Transferência Rápida no banco Mizuho, eu posso depositar em outras contas?","Sim, você pode depositar em várias contas, mas deve confirmar com o atendimento após o depósito."
